0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732
10,36.696,19.279,8.4222,6.8814,4.4181,14.537,2.1083,5.9144,0.31224,2.4323
20,22.265,3.364,3.3802,8.1577,31.252,34.516,9.5156,21.585,7.7383,25.806
30,24.866,28.371,21.567,4.3444,28.843,1.4804,1.4638,6.9811,3.9997,13.772
40,9.9229,0.99709,1.6723,12.593,5.8813,10.774,10.427,2.8248,13.64,0.86107
50,14.213,4.9266,21.429,14.528,11.092,9.6573,0.28951,20.563,3.3397,10.004
60,17.405,8.1233,35.783,6.5988,4.5207,3.4487,14.035,20.205,12.831,27.216
70,34.932,29.354,5.2985,0.83095,8.9827,6.4193,4.7077,6.8465,0.47471,21.796
80,32.938,7.6615,0.28762,11.056,19.465,6.0158,1.8622,11.245,10.026,11.764
90,20.049,7.6123,7.6919,4.4058,4.919,23.62,14.476,15.467,0.03328,2.1896
100,13.351,3.7665,5.6755,1.2263,25.644,11.8,7.77,2.1671,8.5826,20.898
110,0.20178,28.029,17.146,16.337,12.916,18.45,6.5126,12.697,2.5734,2.5322
120,28.178,17.444,6.0758,6.0607,6.0675,15.919,12.351,9.8461,8.9136,24.317
130,19.393,1.9092,17.133,9.9024,10.965,7.2247,10.639,13.716,5.8741,7.4707
140,24.072,14.37,2.6073,15.537,14.256,13.305,12.189,3.1439,15.256,4.3855
150,22.541,7.1443,12.683,1.7029,3.1564,37.374,5.3531,33.953,16.028,11.251
160,31.591,13.894,3.5284,3.3934,6.8608,15.032,6.2263,10.745,4.046,27.44
170,24.74,24.124,0.51921,11.039,4.8679,23.853,11.858,12.185,6.0436,11.063
180,16.813,24.338,5.2987,13.098,19.525,28.226,14.986,9.8324,7.472,16.286
190,36.643,19.782,0.23823,24.995,19.499,35.78,8.9571,11.748,3.3759,10.65
200,28.966,12.452,21.98,10.768,17.636,12.95,10.129,9.0272,7.3475,1.0517
210,26.88,12.057,22.984,27.919,16.029,12.757,10.609,17.376,4.5367,8.5177
220,10.309,29.34,0.7432,24.842,25.238,20.071,14.937,6.084,5.2425,22.938
230,36.051,14.211,1.5631,10.865,16.34,10.5,0.77167,5.7354,1.7296,11.789
240,14.552,8.9031,1.2635,20.741,16.201,1.796,2.0339,2.5004,3.2656,13.616
250,36.093,30.719,0.12797,26.714,21.168,22.181,5.1347,5.426,13.407,34.851
260,38.356,10.218,4.8088,22.913,3.8105,23.147,17.849,12.854,7.6526,13.704
270,34.264,5.583,8.0687,10.773,22.165,11.258,13.929,12.677,13.447,29.316
280,26.894,24.872,5.0446,27.837,16.438,22.867,17.641,18.872,1.235,8.7262
290,25.793,6.9917,4.8337,21.857,22.824,22.51,7.327,17.324,1.155,1.6962
300,28.239,0.88717,8.4275,5.1317,29.927,19.125,7.4777,15.136,15.926,10.573
310,8.0877,18.438,2.4834,0.53503,18.52,19.779,6.2552,22.901,4.7657,3.2917
320,30.673,15.031,2.5023,15.97,22.144,12.7,13.643,1.5276,5.7106,12.884
330,25.26,29.842,9.2198,21.204,15.139,34.418,8.0429,3.9979,10.119,6.6514
340,17.925,15.524,3.8187,5.5476,5.9868,15.625,5.5025,22.217,9.9064,9.336
350,20.608,23.165,14.598,24.09,8.4852,1.7516,12.373,24.419,1.7152,7.7579
360,32.083,24.953,3.5525,7.5069,7.5843,28.558,14.516,14.526,16.391,23.368
370,36.45,11.678,13.075,5.4251,10.652,28.384,10.765,11.153,18.247,10.658
380,14.45,35,0.75222,27.671,8.6904,32.217,12.447,14.173,10.773,9.0742
390,26.507,36.452,17.379,1.3548,11.741,19.163,6.6606,5.7896,6.9977,24.992
400,39.501,18.561,7.9127,8.4413,5.965,25.327,21.561,1.154,2.8873,2.6699
410,18.49,21.13,36.895,21.131,6.7124,18.408,11.075,6.7461,0.19125,12.921
420,8.0924,34.537,13.275,2.8881,26.073,4.8608,17.617,12.426,3.4461,0.10687
430,10.789,17.526,0.031994,2.3727,5.31,7.0816,14.329,15.868,14.68,28.585
440,17.697,29.908,10.326,15.018,8.4491,2.8626,8.5507,12.892,14.342,19.476
450,42.121,26.123,6.0263,3.656,1.6677,21.323,0.58234,1.3197,11.131,5.6083
460,26.112,24.803,1.1094,14.504,35.107,5.9303,4.4927,11.453,0.49882,4.5727
470,12.476,30.119,8.4086,14.274,19.44,0.36783,13.213,22.288,17.525,17.07
480,0.81839,10.065,15.281,0.11272,9.335,11.422,17.104,3.6467,2.0465,21
490,40.49,22.219,2.0098,3.2698,18.58,27.148,16.362,6.8938,17.737,11.815
500,35.052,13.602,21.563,2.6257,22.461,1.2312,15.956,7.479,3.4149,11.154
510,44.762,11.842,40.661,22.318,12.103,9.5562,5.4896,19.438,6.1458,12.329
520,18.681,12.972,8.5894,8.8171,13.388,2.8755,1.9515,17.234,7.9413,26.256
530,33.6,10.099,10.459,9.8263,9.6142,8.6346,5.0081,7.2965,4.2778,13.413
540,34.214,38.698,4.035,2.3892,39.627,13.783,11.665,34.002,5.7433,20.057
550,44.176,28.252,4.7903,17.526,16.182,15.473,4.5503,14.782,6.9846,1.8576
560,21.612,9.905,16.056,11.452,18.749,2.7788,7.2183,5.8723,1.738,4.1389
570,31.288,13.288,8.1311,22.367,7.9285,11.028,14.922,7.7621,2.7286,6.0687
580,29.528,20.03,17.197,26.96,5.4746,7.8673,11.679,0.95942,6.7783,23.418
590,36.28,12.348,5.1035,15.22,8.5408,8.9581,20.948,6.422,19.315,4.3743
600,26.575,0.31066,20.951,16.449,1.2682,0.99578,6.1538,30.235,14.76,11.521
